,samples,,Cdiff num reads,Cbuty numreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,DE-14722-S2_bleu_M9_CC_1703_S79,Mouse 14 Day 1 ,160,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,DE-14723-S2_bleu_M9_CC_2203_S80,Mouse 14 Day 2,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,DE-14724-S2_bleu_M9_CC_2403_S81,Mouse 14 Day 3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,DE-14725-S2_bleu_M9_CC_2603_S82,Mouse 14 Day 4,21628,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,DE-14726-S2_bleu_M9_CC_2803_S83,Mouse 14 Day 5,5398,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,DE-14727-S2_bleu_M9_CC_3103_S84,Mouse 14 Day 6,736,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,DE-14728-S3_noir_M10_CC_1703_S85,Mouse 15 Day 1 ,2104,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,DE-14729-S3_noir_M10_CC_2203_S86,Mouse 15 Day 2,140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,DE-14730-S3_noir_M10_CC_2403_S87,Mouse 15 Day 3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,DE-14732-S3_noir_M10_CC_2803_S88,Mouse 15 Day 4,892,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,DE-14733-S3_noir_M10_CC_3103_S89,Mouse 15 Day 5,497,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mouse 1  Day 1 ,Mouse 1  Day 2,Mouse 1  Day 3,Mouse 1  Day 4,Mouse 1  Day 5,Mouse 1  Day 6,Mouse 2 Day 1 ,Mouse 2 Day 2,Mouse 2 Day 3,Mouse 2 Day 4,Mouse 2 Day 5,Mouse 2 Day 6,Mouse 3 Day 1 ,Mouse 3 Day 2,Mouse 3 Day 3,Mouse 3 Day 4,Mouse 3 Day 5,Mouse 3 Day 6,Mouse 4 Day 1 ,Mouse 4 Day 2,Mouse 4 Day 3,Mouse 4 Day 4,Mouse 4 Day 5,Mouse 4 Day 6,Mouse 5 Day 1 ,Mouse 5 Day 2,Mouse 5 Day 3,Mouse 5 Day 4,Mouse 5 Day 5,Mouse 5 Day 6,Mouse 6 Day 1 ,Mouse 6 Day 2,Mouse 6 Day 3,Mouse 6 Day 4,Mouse 6 Day 5,Mouse 6 Day 6,Mouse 7 Day 1 ,Mouse 7 Day 2,Mouse 7 Day 3,Mouse 7 Day 4,Mouse 7 Day 5,Mouse 7 Day 6,Mouse 8 Day 1 ,Mouse 8 Day 2,Mouse 8 Day 3,Mouse 8 Day 4,Mouse 8 Day 5,Mouse 8 Day 6,Mouse 9 Day 1 ,Mouse 9 Day 2,Mouse 9 Day 3,Mouse 9 Day 4,Mouse 9 Day 5,Mouse 9 Day 6,Mouse 10 Day 1 ,Mouse 10 Day 2,Mouse 10 Day 3,Mouse 10 Day 4,Mouse 10 Day 5,Mouse 10 Day 6,Mouse 11 Day 1 ,Mouse 11 Day 2,Mouse 11 Day 3,Mouse 11 Day 4,Mouse 11 Day 5,Mouse 11 Day 6,Mouse 12 Day 1 ,Mouse 12 Day 2,Mouse 12 Day 3,Mouse 12 Day 4,Mouse 12 Day 5,Mouse 12 Day 6,Mouse 13 Day 1 ,Mouse 13 Day 2,Mouse 13 Day 3,Mouse 13 Day 4,Mouse 13 Day 5,Mouse 13 Day 6,Mouse 14 Day 1 ,Mouse 14 Day 2,Mouse 14 Day 3,Mouse 14 Day 4,Mouse 14 Day 5,Mouse 14 Day 6,Mouse 15 Day 1 ,Mouse 15 Day 2,Mouse 15 Day 3,Mouse 15 Day 4,Mouse 15 Day 5
